Container,Image,Name,Type,Chance,Rarity,Min Ammo,Max Ammo
Cash register,Roublesicon.png,"560-1,150 Roubles",Money,0.5,Common,,
Cash register TAR2-2,Roublesicon.png,"560-1,150 Roubles",Money,0.5,Common,,
Dead Scav,PowerbankIcon.png,Powerbank,Energy element,0.02,Rare,,
Dead Scav,Car Battery Icon.png,Car battery,Energy element,0.08,Rare,,
Dead Scav,AA Battery Icon 2.png,AA Battery,Energy element,0.2,Common,,
Dead Scav,D Size Battery Icon.png,D Size Battery,Energy element,0.1,Common,,
Dead Scav,Recicon.png,Rechargeable battery,Energy element,0.1,Rare,,
Dead Scav,Duct tape Icon.png,Duct tape,Building Material,0.25,Common,,
Dead Scav,Insulating tape Icon.png,Insulating tape,Building Material,0.2,Rare,,
Dead Scav,Hoseicon.png,Corrugated hose,Building Material,0.12,Rare,,
Dead Scav,Nailsicon.png,A pack of nails,Building Material,0.05,Common,,
Dead Scav,Plexicon.png,Piece of plexiglas,Building Material,0.06,Rare,,
Dead Scav,Screwsicon.png,A pack of screws,Building Material,0.08,Common,,
Dead Scav,Xenoicon.png,Xenomorph sealing foam,Building Material,0.12,Super Rare,,
Dead Scav,Shusicon.png,Shustrilo sealing foam,Building Material,0.08,Super Rare,,
Dead Scav,Boltsicon.png,Bolts,Building Material,0.35,Common,,
Dead Scav,Screwnuticon.png,Screw nut,Building Material,0.35,Common,,
Dead Scav,COFDM Icon.png,Military COFDM wireless Signal Transmitter,Electronics,0.0005,Super Rare,,
Dead Scav,UHFRFIDIcon.png,UHF RFID Reader,Electronics,0.0005,Super Rare,,
Dead Scav,VPXFlashIcon.png,VPX Flash Storage Module,Electronics,0.0005,Super Rare,,
Dead Scav,Virtex programmable processor Icon.png,Virtex programmable processor,Electronics,0.0005,Super Rare,,
Dead Scav,Wiresicon.png,Wires,Electronics,0.15,Common,,
Dead Scav,Capacitorsicon.png,Capacitors,Electronics,0.15,Common,,
Dead Scav,Tetriz icon.png,Tetriz portable game,Electronics,0.004,Rare,,
Dead Scav,PC CPU Icon.png,PC CPU,Electronics,0.05,Rare,,
Dead Scav,CPU Fan Icon.png,CPU Fan,Electronics,0.2,Rare,,
Dead Scav,DVD drive Icon.png,DVD drive,Electronics,0.2,Rare,,
Dead Scav,Electric Drill icon.png,Electric drill,Electronics,0.06,Super Rare,,
