Name,Description (no commas allowed),height,width,image
Cash register,Cash registers are 1x2 slot loot containers that only contain Roubles.,1,2,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/0/0f/Register.png/250px-Register.png?version=8fc8da29dab946a13db61fb4543dbb8e
Cash register TAR2-2,Bigger than the standard Cash register has a 2x2 grid that only spawns Roubles.,2,2,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/9/9b/Register_TAR2-2.png/250px-Register_TAR2-2.png?version=c6e244cea752fed1db3cdfa113a1a476
Dead Scav,Corpse of a deceased scav. A 4x4 loot container that spawns Barter Items Food and Drink PM's and medical loot.,4,4,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/c/c6/DeadScav.png/250px-DeadScav.png?version=956384084292e68b388753480cd5ce1d
Drawer,Drawers are loot containers that are interacted with when searching filing cabinets. All filing cabinets currently have 4 drawers. Each drawer is a 2x2 grid.,2,2,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/f/f2/Drawers.png/250px-Drawers.png?version=c51163db1ea3a09859b0eac28f165407
Jacket (114 key),A blue jacket that has a chance to spawn Dorm room 114 Key and medkits. Has a separate loot table from other blue jackets.,2,2,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/d/dd/Bluejacket114.png/250px-Bluejacket114.png?version=65fce8699803e3efc788881cf582ee40
Jacket (204 key),A brown jacket that spawns barter items as well as the Dorm room 204 Key.,2,2,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/3/31/Brownjacket.png/207px-Brownjacket.png?version=9d7740d80e3206257ff5153e317b3978
Jacket (machinery key),A 2x2 slot brown jacket that only spawns the Machinery key. Has a separate loot table from the other brown jackets.,2,2,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/3/31/Brownjacket.png/207px-Brownjacket.png?version=9d7740d80e3206257ff5153e317b3978
Jacket (marked key),A blue jacket that spawns barter items as well as the Marked key. Unlike the Jacket (204 key) it cannot spawn all lubricant items (WD-40 5L Propane Dry Fuel).,2,2,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/a/ab/Bluejacketnormal.png/181px-Bluejacketnormal.png?version=381637090f7e799ec358a603c3d574a0
Medbag SMU06,An SMU06 Medical bag that only spawns medical loot.,4,3,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/3/3b/Med_Bag.png/250px-Med_Bag.png?version=210067f711e07ac1ad482b1a247bc03e
Medcase,A plastic medical case that only spawns medical items. Very similar to the Medbag SMU06 but cannot spawn medikits except for the AI-2 medikit.,4,4,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/d/de/Med_Case.png/250px-Med_Case.png?version=74f8d06b6a5ece37d63ce6ce24b03a7f
PC block,A computer case that can be searched to find PC components.,4,4,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/e/e8/Pc_Block.png/200px-Pc_Block.png?version=f4c43b8bebbb5167e3af178bcdcbb580
Safe,A loot container that only spawns currency and valuable items. The large black safes share the same loot table as the small safes on top of the blue weapon safe spawns such as in Dorm room 204.,3,3,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/8/87/Safe_Container.png/250px-Safe_Container.png?version=effe40df702f215cd06b30b87c3978bd
Sport bag,Sport bags are black and red 4x3 bags that spawns all Barter Items PM's and knives.,4,3,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/d/d7/DuffleBag.png/250px-DuffleBag.png?version=5172d51aaf042bbd8a3a36a83989e5d6
Plastic suitcase,A 3x3 grid Plastic suitcase.,3,3,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/8/81/Plastic_suitcase.png/250px-Plastic_suitcase.png?version=968b781355dc89c4e513d9558cc54942
Toolbox,A small toolbox that contains some barter items.,4,3,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/4/46/Toolbox.png/250px-Toolbox.png?version=1d3e5c05d4505519156e7902d2bff957
Wooden Toolbox,A Large toolbox that contains some barter items.,4,3,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/c/c6/Toolbox2.png/250px-Toolbox2.png?version=dc0e4bab5097a14d5b263e2f4f089b68
Grenade box,Grenade boxes are 2x3 loot containers that only spawn grenades.,2,3,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/5/5d/GrenadeCrate.png/250px-GrenadeCrate.png?version=95711da3163f02712eaab6cbb9d03e57
Wooden ammo box,Wooden ammo boxes are 3x3 boxes that only contain ammo.,3,3,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/6/66/AmmoBox_Container.png/250px-AmmoBox_Container.png?version=39381b10665152a4ee524b7577a2579f
Wooden crate,Green wooden crate that spawns military loot.,5,2,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/1/11/WoodenCrate.png/250px-WoodenCrate.png?version=1435023a0681722a458b0ec5a7e89b57
Weapon box (4x4),A 4x4 grid TerraGroup Weapon box that spawns weapons and mods. Note that only weapons that actually fit inside spawn.,4,4,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/7/75/Weapon_Box_4x4.png/250px-Weapon_Box_4x4.png?version=9a08eee5baac6a5ae745adcdfbe914a0
Weapon box (5x5),A 5x5 grid TerraGroup Weapon box that spawns weapons and mods. Note that only weapons that actually fit inside spawn.,5,5,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/3/3e/Weapon_Box_5x5.png/250px-Weapon_Box_5x5.png?version=daac52868dc90bd35d65facd131921f3
Weapon box (5x2),A 5x2 grid TerraGroup Weapon box that spawns weapons mods throwables and meds. Note that only weapons that actually fit inside spawn.,5,2,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/7/7c/Weapon_Box_5x2.png/250px-Weapon_Box_5x2.png?version=afa677604e9a13cee07ce0195e640f71
Weapon box (6x3),A 6x3 grid TerraGroup Weapon box that spawns weapons and mods. Note that only weapons that actually fit inside spawn.,6,3,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/7/76/Weapon_Box_6x3.png/250px-Weapon_Box_6x3.png?version=a5543b4477f77a28ad994582f892a128
Ground cache,A 4x4 grid buried and hidden cache.,4,4,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/1/10/Groundcache.png/250px-Groundcache.png?version=93250b7b3b99167ddd66b57120be0b47
Buried barrel cache,A 3x4 grid buried cache.,3,4,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/6/69/Buried_Barrel_Cache.png/250px-Buried_Barrel_Cache.png?version=e911ae22d30da402d961996e343f7ed1
Common fund stash,A 5x5 grid stash,5,5,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/5/5f/ShturmanCrate.png?version=4e3cb41571a915eac415b1def8bee627
Ration supply crate,A 5x5 ration supply crate,5,5,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/1/1a/RationSupplyCrate.png?version=01633b30fb2f15e853d4d4462254e0f3
Technical supply crate,A 5x5 technical supply crate that contains Industrial and Electronic items,5,5,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/thumb/4/4b/TechSupplyCrate.png/250px-TechSupplyCrate.png?version=ee4cfe5b7306c3f8382fb8023130c4ea
Medical supply crate,A 5x5 medical supply crate,5,5,https://gamepedia.cursecdn.com/escapefromtarkov_gamepedia/3/34/MedicalSupplyCrate.png?version=1cf0274d1bdf5664efd9413cf49657cf
